Family,Outcome,Treatment,Moderator,N,Beta,p,CI_lower,CI_upper,q,Pass_Conservative
Direct NCO,_65_and_older_raw_value,mo1_genai_composite_score_c,MO1,3135,-0.0014991184397675794,0.06852167404495894,-0.003112140837685416,0.00011390395815025732,0.4449863133977432,False
Direct NCO,_65_and_older_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3133,-8.162488291856148e-06,0.8068567892839568,-7.359928754859191e-05,5.7274310964879613e-05,0.9323384059933857,True
Direct NCO,_65_and_older_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3133,-1.6029097901910434e-05,0.5633575697903448,-7.03958445034152e-05,3.833764869959433e-05,0.9323384059933857,True
Direct NCO,_65_and_older_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3133,-4.917123483844174e-05,0.17093018697117712,-0.00011955712989493307,2.12146602180496e-05,0.6420304583795434,True
Direct NCO,_65_and_older_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3133,-5.311936203622114e-05,0.10457524515985174,-0.00011726464076751356,1.1025916695071275e-05,0.5368195918205723,True
Direct NCO,_65_and_older_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3133,-7.579047582524978e-05,0.0170793410402269,-0.00013807429038085287,-1.3506661269646695e-05,0.2023245015534571,False
Direct NCO,_65_and_older_raw_value,mo2_robotics_composite_score_c,MO2,3135,0.0001280028605340946,0.6156058879171838,-0.000371672866119948,0.0006276785871881372,0.9323384059933857,True
Direct NCO,air_pollution_particulate_matter_raw_value,mo1_genai_composite_score_c,MO1,3107,-0.012297613325246898,0.338598535056443,-0.037485116050741146,0.01288988940024735,0.8022180676721881,True
Direct NCO,air_pollution_particulate_matter_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3107,-0.0003895161009766007,0.3177757970200823,-0.0011536879962618057,0.00037465579430860435,0.7893140764692366,True
Direct NCO,air_pollution_particulate_matter_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3107,-0.00021674292973219988,0.6077177664649962,-0.0010442907046057353,0.0006108048451413356,0.9323384059933857,True
Direct NCO,air_pollution_particulate_matter_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3107,-0.0007497691891866281,0.1555934435138274,-0.001784607215472836,0.00028506883709957984,0.6279707091390803,True
Direct NCO,air_pollution_particulate_matter_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3107,-0.00013163845052821446,0.8115275090570628,-0.001213627249730367,0.000950350348673938,0.9323384059933857,True
Direct NCO,air_pollution_particulate_matter_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3107,-8.27557912169985e-05,0.8952834058128021,-0.00131506164396451,0.001149550061530513,0.9574558645498022,True
Direct NCO,air_pollution_particulate_matter_raw_value,mo2_robotics_composite_score_c,MO2,3107,0.0035272251054808863,0.2930195587321117,-0.003047286368936088,0.01010173657989786,0.7520835340790867,True
Direct NCO,below_18_years_of_age_raw_value,mo1_genai_composite_score_c,MO1,3135,0.0010067742756575552,0.1989712685183126,-0.0005294342056379217,0.002542982756953032,0.6570079483791585,True
Direct NCO,below_18_years_of_age_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3133,2.4526765616529297e-06,0.933076043587938,-5.4792201579695623e-05,5.969755470300148e-05,0.9775082361397446,True
Direct NCO,below_18_years_of_age_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3133,-1.0520987512684758e-05,0.660187522056374,-5.742319595067731e-05,3.6381220925307795e-05,0.9323384059933857,True
Direct NCO,below_18_years_of_age_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3133,5.118906094704618e-07,0.9865839854659894,-5.915334075232087e-05,6.017712197126179e-05,0.9919304046893825,True
Direct NCO,below_18_years_of_age_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3133,3.144668550208086e-05,0.28935952928081643,-2.6724867808517074e-05,8.961823881267879e-05,0.7520835340790867,True
Direct NCO,below_18_years_of_age_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3133,3.3682246699120585e-05,0.32822346862173024,-3.3839582470084927e-05,0.0001012040758683261,0.7902289158100264,True
Direct NCO,below_18_years_of_age_raw_value,mo2_robotics_composite_score_c,MO2,3135,-0.000290226200201801,0.1771038935156265,-0.0007116694453055424,0.00013121704490194044,0.6493809428906305,True
Direct NCO,census_participation_raw_value,mo1_genai_composite_score_c,MO1,3132,0.0009564244374605044,0.6538920542330715,-0.003224478464830335,0.005137327339751344,0.9323384059933857,True
Direct NCO,census_participation_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3132,1.4871082115656845e-05,0.8415262235914326,-0.0001309053819661487,0.00016064754619746238,0.9323384059933857,True
Direct NCO,census_participation_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3132,5.487016468648577e-05,0.3611392252046234,-6.28958925324314e-05,0.00017263622190540295,0.8426581921441213,True
Direct NCO,census_participation_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3132,-8.906183262495762e-05,0.29881957385894464,-0.000257072751191046,7.894908594113076e-05,0.7543969569553683,True
Direct NCO,census_participation_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3132,4.722088104582985e-05,0.5423047345379043,-0.00010466889780378616,0.00019911065989544586,0.9323384059933857,True
Direct NCO,census_participation_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3132,-2.0747108281313057e-05,0.8112110131566201,-0.00019098447686021725,0.00014949026029759113,0.9323384059933857,True
Direct NCO,census_participation_raw_value,mo2_robotics_composite_score_c,MO2,3132,0.001737951959593599,0.015385326763131616,0.0003322272123797278,0.00314367670680747,0.1974450267935224,False
Direct NCO,drinking_water_violations_raw_value,mo1_genai_composite_score_c,MO1,3083,0.00611579819458663,0.637185237910465,-0.01929934140187239,0.031530937791045655,0.9323384059933857,True
Direct NCO,drinking_water_violations_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3083,0.00021045028036624673,0.5594584798001179,-0.0004962708205037426,0.0009171713812362361,0.9323384059933857,True
Direct NCO,drinking_water_violations_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3083,0.00018449002271606562,0.6296420905467931,-0.000565345732848254,0.0009343257782803852,0.9323384059933857,True
Direct NCO,drinking_water_violations_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3083,0.00041072437524085256,0.4473835616418457,-0.0006487934917326244,0.0014702422422143296,0.8947671232836913,True
Direct NCO,drinking_water_violations_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3083,-0.00011650163585240906,0.831797946015723,-0.0011915632648391104,0.0009585599931342921,0.9323384059933857,True
Direct NCO,drinking_water_violations_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3083,-0.0002550570320075699,0.6741748592089993,-0.001444097536934458,0.0009339834729193181,0.9323384059933857,True
Direct NCO,drinking_water_violations_raw_value,mo2_robotics_composite_score_c,MO2,3083,-0.0005832069987464716,0.867599850507414,-0.007439896907695198,0.006273482910202254,0.9409181477333927,True
Direct NCO,driving_alone_to_work_raw_value,mo1_genai_composite_score_c,MO1,3135,-0.0014082800449010512,0.3929578276878596,-0.004639333805550234,0.0018227737157481315,0.8869769298795852,True
Direct NCO,driving_alone_to_work_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3133,-9.983903129591899e-05,0.07526616871614472,-0.00020984387750357255,1.0165814911734564e-05,0.4449863133977432,False
Direct NCO,driving_alone_to_work_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3133,-0.00011595536423877905,0.035722908808363055,-0.00022417490667372823,-7.735821803829881e-06,0.32360752685223004,False
Direct NCO,driving_alone_to_work_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3133,-0.00015041030682362986,0.04200406064593994,-0.000295382864439174,-5.437749208085717e-06,0.3451258513532907,False
Direct NCO,driving_alone_to_work_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3133,-7.893591293075901e-05,0.23544159036404566,-0.00020933377228798727,5.1461946426469246e-05,0.710941272863981,True
Direct NCO,driving_alone_to_work_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3133,-7.117983639632174e-05,0.23479973454801184,-0.00018860397648779394,4.624430369515046e-05,0.710941272863981,True
Direct NCO,driving_alone_to_work_raw_value,mo2_robotics_composite_score_c,MO2,3135,-0.0009470011099731892,0.02844170199250523,-0.0017940891676223743,-9.991305232400405e-05,0.27375138167786284,False
Direct NCO,female_raw_value,mo1_genai_composite_score_c,MO1,3135,0.0003658164188732587,0.19685083214821597,-0.00018973951067292362,0.000921372348419441,0.6570079483791585,True
Direct NCO,female_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3133,1.5700018628370983e-05,0.13621991517035528,-4.951747613063396e-06,3.635178486980536e-05,0.5827185260065199,True
Direct NCO,female_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3133,9.642542068028864e-06,0.3865486490711718,-1.2183512060189737e-05,3.1468596196247466e-05,0.8869769298795852,True
Direct NCO,female_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3133,6.650155349536111e-06,0.5935404688534011,-1.7771354930336833e-05,3.1071665629409055e-05,0.9323384059933857,True
Direct NCO,female_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3133,1.7318634635102363e-05,0.07217319541154468,-1.559811399612931e-06,3.619708066981766e-05,0.4449863133977432,False
Direct NCO,female_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3133,1.0563943281930024e-05,0.44143026649817674,-1.6333276792258087e-05,3.7461163356118135e-05,0.8947671232836913,True
Direct NCO,female_raw_value,mo2_robotics_composite_score_c,MO2,3135,0.0003574064309779018,0.00018459755521028852,0.00017006652657788153,0.0005447463353779221,0.009476007834128145,False
Direct NCO,gender_pay_gap_raw_value,mo1_genai_composite_score_c,MO1,3129,-0.005532601285681191,0.0012045925787884271,-0.008881706013283076,-0.002183496558079307,0.030917876188902963,False
Direct NCO,gender_pay_gap_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3127,-0.0001204920042094746,0.08774664969972061,-0.00025880709377959244,1.782308536064323e-05,0.48260657334846335,False
Direct NCO,gender_pay_gap_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3127,-0.00012575676250095602,0.05150254934730595,-0.00025233341145355453,8.198864516424978e-07,0.37768536188024365,False
Direct NCO,gender_pay_gap_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3127,-0.00012411411157873712,0.05037348687771728,-0.0002484302556868788,2.020325294045265e-07,0.37768536188024365,False
Direct NCO,gender_pay_gap_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3127,-0.00023625094395022145,4.314734316116496e-05,-0.00034946596665315436,-0.00012303592124728854,0.003322345423409702,False
Direct NCO,gender_pay_gap_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3127,-0.00017891223274178324,0.0025803672999458126,-0.00029526595757037495,-6.25585079131915e-05,0.04415295157685057,False
Direct NCO,gender_pay_gap_raw_value,mo2_robotics_composite_score_c,MO2,3129,0.0004339113322083749,0.43448240403805594,-0.0006542554311752492,0.001522078095591999,0.8947671232836913,True
Direct NCO,hispanic_raw_value,mo1_genai_composite_score_c,MO1,3135,-0.0012823465706421427,0.7408915857340864,-0.008883069846267796,0.006318376704983511,0.9323384059933857,True
Direct NCO,hispanic_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3133,4.5455982221497026e-05,0.7200864316977098,-0.00020316619827717713,0.0002940781627201712,0.9323384059933857,True
Direct NCO,hispanic_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3133,2.7119545826580476e-05,0.8175570216268258,-0.0002032924442646421,0.00025753153591780305,0.9323384059933857,True
Direct NCO,hispanic_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3133,-3.838649607295181e-05,0.7847546816638722,-0.0003138474478994692,0.00023707445575356557,0.9323384059933857,True
Direct NCO,hispanic_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3133,-5.152866005736654e-05,0.7323908859908402,-0.0003468795773893726,0.00024382225727463956,0.9323384059933857,True
Direct NCO,hispanic_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3133,-6.572702457156083e-05,0.6789481953597967,-0.00037696878059988235,0.0002455147314567607,0.9323384059933857,True
Direct NCO,hispanic_raw_value,mo2_robotics_composite_score_c,MO2,3135,-0.001604011895237835,0.11362249728356313,-0.0035910977794167106,0.00038307398894104044,0.5602137665523048,True
Direct NCO,homeownership_raw_value,mo1_genai_composite_score_c,MO1,3134,-6.574911984080865e-05,0.9765564564529207,-0.004450978712952141,0.004319480473270524,0.9919304046893825,True
Direct NCO,homeownership_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,3132,-8.919619580765399e-05,0.25694891285219223,-0.00024340966173564766,6.501727012033967e-05,0.7327802329488445,True
Direct NCO,homeownership_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,3132,-9.178315256321023e-05,0.21231752283290628,-0.00023601748292237233,5.245117779595186e-05,0.6811853857555743,True
Direct NCO,homeownership_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,3132,-1.586505203283583e-05,0.8516878471224452,-0.00018217897317896056,0.0001504488691132889,0.9368566318346897,True
Direct NCO,homeownership_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,3132,-3.871315508208477e-05,0.6249718709369432,-0.00019393795970967012,0.00011651164954550058,0.9323384059933857,True
Direct NCO,homeownership_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,3132,-9.164141517942486e-05,0.2637563749771976,-0.0002523615601851088,6.907872982625911e-05,0.7385178499361533,True
Direct NCO,homeownership_raw_value,mo2_robotics_composite_score_c,MO2,3134,-0.0011935921312075434,0.026399648011844655,-0.0022472411061503087,-0.00013994315626477782,0.2710363862549384,False
Direct NCO,juvenile_arrests_raw_value,mo1_genai_composite_score_c,MO1,1919,0.35333963467686313,0.545564149560519,-0.792440541241459,1.4991198105951853,0.9323384059933857,True
Direct NCO,juvenile_arrests_raw_value,mo11_ai_automate_routine_tasks_pct_c,MO11,1918,0.007055685840287103,0.7090913587983924,-0.030011464419117395,0.0441228360996916,0.9323384059933857,True
Direct NCO,juvenile_arrests_raw_value,mo12_ai_optimize_workflows_pct_c,MO12,1918,-0.00261347485006234,0.8765620324959538,-0.03559070285573611,0.03036375315561143,0.9439898811494887,True
Direct NCO,juvenile_arrests_raw_value,mo13_ai_predict_patient_demand_pct_c,MO13,1918,0.004437270309061537,0.8246811756987222,-0.034821341910738116,0.04369588252886118,0.9323384059933857,True
Direct NCO,juvenile_arrests_raw_value,mo14_ai_predict_staff_needs_pct_c,MO14,1918,0.007803406857415641,0.6937560088716606,-0.031038220250064297,0.04664503396489558,0.9323384059933857,True
Direct NCO,juvenile_arrests_raw_value,mo15_ai_staff_scheduling_pct_c,MO15,1918,0.013481728559598859,0.5329577207914412,-0.028898084256842697,0.055861541376040415,0.9323384059933857,True
